lake_ID,age_sky,percC,percN,CN,del13C,del15N,fuco,oscil,aphan,diadino,myxo,allo,diato,lutein,cantha,b_car,chl_ap,echine,pheo_a,phaeo_b,chla_pheoa,chlb_pheob,PI,UVR_index,all_chl,all_diat,AD_ratio,master_chl,perc_chlb,perc_diatox,del15N_zscore
SkyPond,1847.508475,4.39,0.41,10.43,-25.2,5.1,48.83987236,0,0,0,0,63.05538694,159.2913347,168.5588039,0.405771332,105.64308,128.4753255,30.18322546,480.4838685,417.4273454,589.6211904,422.0916215,0.22714045,0,718.0965159,159.2913347,0.395849448,0.110875965,0.868764537,0.270158769,1.018324158
SkyPond,1854.288136,4.8,0.54,10.32,-25.4,3.9,52.51808185,0,0,0,0,56.78951866,155.3537747,165.7859737,0.364729546,67.19181778,122.8095181,28.4557878,465.6975422,388.5697953,603.0040365,388.5697953,0.294840496,0.00755045,725.8135546,155.3537747,0.365549654,0.140527834,0.834382319,0.257633059,0.093575733
SkyPond,1861.067797,3.94,0.5,9.16,-25.8,4,60.58879459,0,0,4.888464048,0,54.64455504,163.7207941,182.4196279,0.440120327,129.5947385,136.2517409,18.28087518,535.6991175,362.7469475,690.176497,365.0554504,0.28836594,0.007477346,826.4282379,168.6092581,0.333766736,0.151528187,0.677146808,0.237215835,0.170638102
SkyPond,1867.847458,3.85,0.38,9.81,-25.7,4.9,62.31159243,0,0,4.999988327,0,58.67975189,187.0542501,185.9816039,0.934493059,107.2970438,149.6681665,16.99714828,569.5765695,374.4087644,758.0944749,392.79843,0.330979039,0,907.7626414,192.0542384,0.313704457,0.189189328,0.657345798,0.246742664,0.86419942
SkyPond,1874.627119,3.35,0.4,9.77,-25.8,5.6,83.71834808,0,0,9.362314855,0,106.8613735,415.9433975,154.1143395,0.916820556,122.6345726,144.0459943,17.07238284,643.9991854,381.2985911,931.2795194,397.1092036,0.446088039,0,1075.325514,425.3057124,0.256913258,0.25919747,0.592079307,0.44663647,1.403636001
SkyPond,1881.40678,3.28,0.29,10.1,-25.7,6.5,72.59313288,0,0,10.52222222,0,64.36913468,340.6963797,179.3920722,2.977453848,134.7553806,160.1827371,17.99280015,639.7907511,298.0644659,1009.71053,305.0244755,0.578188695,0,1169.893267,351.2186019,0.188934014,0.343230202,0.465878047,0.337419854,2.097197319
SkyPond,1888.186441,3.38,0.37,10.54,-25.9,4.2,76.01749214,0,0,10.70604916,0,50.99257645,335.5432913,197.6898014,0.995626239,155.690839,153.2945365,22.22897822,578.1185925,252.6851597,973.7968479,267.6318963,0.684424027,0,1127.091384,346.2493405,0.151970186,0.417260142,0.437081877,0.344572168,0.324762839
SkyPond,1894.966102,3.21,0.29,9.83,-25.9,6.8,90.00989428,0,0,29.42035807,0,54.85528393,412.6276518,248.0419751,1.137216713,131.7993051,179.4787041,28.04714612,703.8377938,289.2362759,1174.235749,311.6347567,0.668332902,0,1353.714453,442.0480099,0.132941367,0.420276552,0.410941666,0.35140103,2.328384426
SkyPond,1901.745763,3.16,0.37,10.05,-25.6,4.6,81.8010158,0,0,11.25277954,0,45.38820954,368.1457239,149.7367342,3.315692203,145.2212346,232.2639564,31.26005895,814.0155307,341.3557122,1274.291915,363.2185128,0.565439315,0.001265527,1506.555871,379.3985034,0.123288705,0.347453845,0.419347911,0.288902189,0.633012314
SkyPond,1908.525424,3.25,0.3,10.46,-26,5.1,99.41077949,0,0,28.80926089,0,73.28004639,480.0804351,203.4651279,1.135814691,83.10216743,167.9341789,18.82766916,700.2515694,243.611231,1093.836981,254.8323608,0.562062877,0.032521206,1261.77116,508.889696,0.152641185,0.364101134,0.347891018,0.43889578,1.018324158
SkyPond,1915.305085,3.3,0.35,11.12,-26,3.4,129.2262277,0,0,27.75888852,0,60.39199983,359.2266187,217.6048247,2.980448967,145.3169071,169.8878294,38.50263196,527.8209849,299.0707652,877.776165,319.2079816,0.663018694,0.017535253,1047.663994,386.9855072,0.168116717,0.3712881,0.566614011,0.409246267,-0.29173611
SkyPond,1918.694915,3.32,0.37,10.58,-25.9,3.6,122.4455396,0,0,27.155405,0,50.37562563,317.6606514,230.6431436,1.022051164,143.1447538,161.3344255,26.2327203,685.5513071,327.5706793,1024.279859,349.949952,0.494096574,0.015367785,1185.614285,344.8160564,0.158583147,0.307468052,0.477820808,0.310130721,-0.137611373
SkyPond,1922.084746,3.27,0.36,10.73,-26.1,3.9,109.7665147,0,0,30.20285103,0,71.26883336,321.3492207,215.8810258,2.18688966,87.40309881,142.3416565,25.64883024,490.0469625,306.0952419,819.7498658,343.7756057,0.672798586,0.014673785,962.0915223,351.5520717,0.22178001,0.391464662,0.624624302,0.392008873,0.093575733
SkyPond,1925.474576,3.12,0.34,10.64,-25.6,4.4,120.8546459,0,0,29.61094525,0,51.48896129,303.5182465,226.0397156,1.169036356,88.0041914,136.0855733,25.12773832,211.7571595,259.0101023,518.3402392,276.1580831,1.447805025,0,654.4258125,333.1291918,0.169640415,0.533458924,1.223146849,0.585557947,0.478887577
SkyPond,1928.864407,3.01,0.33,10.76,-25.6,4.2,102.875004,0,0,31.44295739,0,47.14690415,291.4458674,221.7141582,0.601656659,133.547092,127.3546803,29.28608352,263.0596285,286.0271014,551.3128901,292.1700289,1.095771568,0.006408719,678.6675704,322.8888248,0.161768992,0.435213138,1.087308999,0.528639676,0.324762839
SkyPond,1932.254237,2.91,0.3,11.2,-26,4.3,68.03472917,0,0,33.13012992,0,43.98152848,274.0647046,231.3869569,2.515503279,136.0035673,139.7304334,33.83286628,694.4076394,369.2118749,1026.037559,376.3522709,0.477572395,0.016098589,1165.767992,307.1948345,0.160478631,0.281522691,0.531693279,0.267109817,0.401825208
SkyPond,1935.644068,2.85,0.3,11.03,-25.6,4,73.05664726,0,0,32.16790474,0,55.62267853,274.1020284,220.3672814,4.792342921,117.8494628,116.2986401,29.61177739,396.2441244,361.5553889,708.4117873,368.6691014,0.787816509,0.004062104,824.7104274,306.2699331,0.202926913,0.365269477,0.912456152,0.386924714,0.170638102
SkyPond,1939.033898,2.7,0.27,11.76,-25.9,3.9,100.2205083,0,0,30.83694341,0,54.79560665,302.2643159,274.6214961,6.838981924,145.9525669,142.0100021,36.67978688,671.1185425,475.1466412,1052.452224,489.1581848,0.568206147,0.012971674,1194.462226,333.1012593,0.181283743,0.306879485,0.707992122,0.287200035,0.093575733
SkyPond,1942.423729,3.13,0.31,11.64,-26.2,3.9,64.1610314,0,0,29.23448084,0,46.95803567,218.773372,198.8173619,6.562422925,125.9259129,108.0768838,29.46410584,587.2098191,486.9578036,885.9979724,495.8398495,0.508826902,0.003224367,994.0748562,248.0078528,0.214642373,0.260242443,0.829273946,0.246923107,0.093575733
SkyPond,1945.813559,2.93,0.31,10.93,-25.9,3.7,74.31489994,0,0,69.02974042,0,40.22794098,223.6753004,316.9265377,9.499594915,106.8888665,112.1676775,17.43346659,612.8494965,454.5879414,951.3820471,471.2100484,0.552391007,0.01196412,1063.549725,292.7050408,0.179849724,0.301079279,0.74176114,0.235105656,-0.060549004
SkyPond,1949.20339,2.87,0.31,10.75,-25.4,3.1,108.612046,0,0,65.10488434,0,32.80932425,205.3236711,366.9072355,11.95724679,117.156313,77.05402334,22.1716548,644.7437546,624.4788209,977.9475706,668.0992482,0.516800378,0.007604445,1055.001594,270.4285554,0.159793189,0.279901057,0.968569011,0.209953659,-0.522923216
SkyPond,1952.59322,3.03,0.31,11.26,-25.9,2.8,111.1920688,0,0,56.68373551,0,41.74275394,189.9154455,433.3224968,15.98708301,127.7476593,108.9775491,43.52577688,751.7755621,740.5060272,1064.712501,773.5995046,0.416263782,0.009794715,1173.69005,246.599181,0.21979652,0.216098949,0.985009442,0.178372514,-0.754110322
SkyPond,1955.983051,3.18,0.35,10.73,-25.9,2.8,128.5373626,0,0,58.31813703,0,54.26929314,157.5926884,402.7472763,19.9160893,138.8856258,94.84927855,18.19472772,1027.982762,1063.647943,1375.725687,1102.909717,0.338277,0.029653119,1470.574966,215.9108254,0.344364283,0.176998967,1.034694338,0.114552407,-0.754110322
SkyPond,1959.372881,3.12,0.33,10.99,-25.9,2.5,181.5247581,0,0,68.28800988,0,75.16070464,168.2358192,407.489535,34.1505752,227.7752359,124.4535955,16.85199423,542.7126122,1021.637701,1030.565523,1049.224329,0.898915742,0.010179291,1155.019118,236.5238291,0.446758039,0.305209821,1.882465375,0.163246116,-0.985297428
SkyPond,1962.762712,3.23,0.34,11.03,-26.3,2.9,204.1783679,0,0,100.2431004,0,100.6008831,188.0921772,426.9228139,42.01086502,211.142865,124.1978371,31.76612923,937.2753785,1132.302763,1543.235808,1187.199845,0.646512693,0.006084706,1667.433645,288.3352776,0.534848842,0.301242022,1.208079065,0.121881683,-0.677047954
SkyPond,1966.152542,3.27,0.35,10.88,-26.3,2.3,120.950122,0,0,109.5619371,0,84.76917179,183.2478401,409.1528253,50.78103112,231.5996853,158.0505439,13.47488308,893.0998236,1228.091667,1597.791785,1316.62228,0.789040534,0.018483444,1755.842329,292.8097772,0.46259302,0.348020334,1.375088915,0.114688185,-1.139422166
SkyPond,1969.542373,3.36,0.38,10.43,-26.3,2.5,129.2342046,0,0,84.74417235,0,86.1935908,178.879362,362.5796732,42.93366292,166.8994082,149.095422,20.18869106,846.721324,916.1381124,1573.867049,983.016842,0.858778095,0.002497598,1722.962471,263.6235344,0.481853188,0.415294562,1.08198304,0.113655955,-0.985297428
SkyPond,1972.932203,3.2,0.34,11.13,-26.6,1.9,155.9597429,0,0,108.3305778,0,127.0793756,211.0691209,332.332151,49.29227163,241.5549461,160.756608,21.76770722,965.8404789,1044.933694,1828.191291,1119.043061,0.892850145,0.01738444,1988.947899,319.3996987,0.60207469,0.431244257,1.081890557,0.115452427,-1.44767164
SkyPond,1976.322034,3.28,0.35,10.82,-26.7,2,185.725656,0,0,57.67086726,0,74.53427954,191.059796,360.6467102,41.0116876,242.4506565,204.6085269,17.44426757,967.8074697,926.9880217,1949.503908,1003.964453,1.014350962,0.008073789,2154.112435,248.7306633,0.390109699,0.504273051,0.95782276,0.098004315,-1.370609272
SkyPond,1979.711864,3.24,0.36,10.59,-26.4,1.9,249.7290395,0,0,80.07973664,0,113.5216996,234.6917364,389.396245,55.60172142,229.7345093,242.579004,20.68150881,1064.108921,943.9146581,2201.524775,1031.007284,1.068890441,0,2444.103779,314.771473,0.483705568,0.544080279,0.88704703,0.106604177,-1.44767164
SkyPond,1983.101695,3.25,0.36,10.64,-26.7,1.5,230.430105,0,0,70.82935778,0,106.5111802,216.9000453,357.7580842,48.24912264,241.0534506,211.765264,18.05442805,1059.85318,1000.33572,2189.165701,1083.05776,1.065536758,0,2400.930965,287.7294031,0.491061125,0.533476678,0.943843675,0.099078862,-1.755921115
SkyPond,1986.491525,3.36,0.37,10.47,-26.7,2.3,276.7897929,0,0,66.33996017,0,121.3689838,196.5887836,352.6440844,51.10597513,243.9540687,231.4281851,19.73082572,1062.755656,992.6451947,2187.774726,1106.923186,1.058586763,0,2419.202911,262.9287438,0.617374916,0.541928164,0.934029557,0.089857873,-1.139422166
SkyPond,1989.881356,3.69,0.4,10.66,-26.9,2.3,323.0900213,0,0,70.82215409,0,106.6232912,179.3102399,365.1359024,47.88609113,222.3068874,204.2002217,17.40945678,1099.522292,899.76146,2194.949518,966.7938979,0.996275595,0,2399.14974,250.132394,0.594630241,0.527555307,0.818320344,0.081692193,-1.139422166
SkyPond,1993.271186,3.11,0.35,10.27,-26.7,2,390.5303348,0,0,71.42735751,0,149.9168583,226.5740399,422.19833,67.528637,224.5937415,226.4444815,19.30593111,1210.921541,1087.084129,2589.859506,1170.520831,1.138750876,0,2816.303988,298.0013974,0.661668293,0.57928443,0.897732918,0.08748507,-1.370609272
SkyPond,1996.661017,3.46,0.39,10.34,-26.7,2.2,353.901483,0,0,70.74105113,0,83.86859957,190.690789,429.3153746,56.92828896,228.3120235,248.2934669,21.16870562,1425.698513,1052.212541,2741.899787,1141.379965,0.92319748,0,2990.193254,261.4318401,0.439814634,0.515503766,0.738032993,0.069546958,-1.216484534
SkyPond,2000.050847,4.15,0.44,10.95,-27.3,2.3,371.802906,0,0,58.61282711,0,126.1476924,150.847079,305.085221,52.19521804,165.9324153,168.4998559,14.36575795,1037.909143,907.1407438,2075.131535,985.3567497,0.999338332,0,2243.631391,209.4599061,0.836262082,0.527755924,0.874007855,0.072692779,-1.139422166
SkyPond,2003.440678,3.6,0.4,10.49,-27,2.3,465.4560843,0,0,107.8522,0,101.1833543,169.6286458,378.9632992,51.87997754,203.5956406,187.3973729,25.37507602,1237.553382,911.219922,2607.714242,1002.080875,1.107152936,0,2795.111615,277.4808458,0.596499216,0.625391727,0.736307569,0.065048786,-1.139422166
SkyPond,2006.830508,3.66,0.42,10.22,-26.8,1.7,520.0913369,0,0,100.259556,0,110.6410278,148.4832818,355.4970718,50.17754797,211.9838476,187.886271,16.0185816,1389.21678,1058.497717,2714.058832,1150.594407,0.953661136,0,2901.945103,248.7428378,0.745141315,0.537615089,0.761938477,0.05470894,-1.601796378
SkyPond,2010.220339,3.79,0.45,9.78,-27.1,2.2,646.0463485,0,0,110.1784731,0,128.5840378,126.1894886,312.8619902,62.79285474,192.2570831,212.6833053,18.13269731,1415.717637,904.6714425,2766.927807,996.0368682,0.954434793,0,2979.611112,236.3679617,1.018975821,0.569496397,0.639019688,0.045606354,-1.216484534
SkyPond,2013.610169,3.74,0.45,9.8,-26.9,2.1,882.2694652,0,0,72.92984439,0,178.2149297,125.5737547,311.1724121,35.98125434,144.8389916,142.3958521,12.14021421,1237.688423,785.7669646,2772.13709,860.6185483,1.23976975,0,2914.532942,198.5035991,1.419205232,0.743033603,0.634866538,0.045298537,-1.293546903
TheLoch,1672.779661,6.91,0.48,16.64,-23.38,4.15,1.2,0,0,3.6,11.2,33.1,582.9,255.4,15.2,81.8,64.5,31.9,250.6,196.7,387.2,333.3,0.54509178,0,451.7,586.5,0.05678504,0.266901133,0.784916201,1.505423554,0.812653452
TheLoch,1698.20339,7.26,0.51,16.7,-23.14,3.92,2.3,0,0,3.6,11.8,45.6,723.4,304.5,27.6,305.9,86.8,36.9,352.2,251.6,524.2,423.6,0.488358887,0,611,727,0.063035665,0.249058789,0.714366837,1.380007631,0.383769728
TheLoch,1723.627119,6.63,0.48,16.21,-23.21,3.85,6.7,0,0,5.3,16.4,42.3,699.1,292,25,306,85.2,31.9,274.4,237.5,426.6,389.7,0.554664723,0,511.8,704.4,0.060506365,0.254898677,0.865524781,1.638771683,0.253239899
TheLoch,1740.576271,7.58,0.53,16.67,-23.62,4.2,6,0,0,4.3,17.7,41.8,626.5,273.9,23.8,264.9,81,26.2,256,119.4,390.1,253.5,0.523828125,0,471.1,630.8,0.066719872,0.293821209,0.46640625,1.605998462,0.905889044
TheLoch,1766,7.05,0.49,16.82,-23.37,4.02,8.5,0,0,4.7,15.3,40.2,626.9,273.7,20.9,370.1,61.4,38.2,311.9,195.4,439,322.5,0.407502405,0,500.4,631.6,0.06412506,0.223492175,0.626482847,1.428018223,0.570240912
TheLoch,1787.186441,6.91,0.5,16.14,-23.35,4.4,8.7,0,0,4.7,15.2,42.7,668.3,298.3,21.8,391.9,62,40.6,332.7,172.8,460.8,300.9,0.38503156,0,522.8,673,0.063893461,0.225726872,0.519386835,1.450303819,1.278831413
TheLoch,1812.610169,6.76,0.49,16.04,-23.24,4.19,2.2,0,0,5.1,7.9,22.8,582.4,233.9,8.4,366.3,62,17.2,388.8,190.8,527.4,329.4,0.356481481,0,589.4,587.5,0.039148352,0.216022444,0.490740741,1.104285173,0.887241926
TheLoch,1859.220339,7.02,0.5,16.34,-23.78,4.36,12.6,0,0,4.6,16.2,39.5,706.1,294.9,17.2,425.3,84.4,28.7,409.5,232.1,580.9,403.5,0.418559219,0,665.3,710.7,0.055941085,0.236088154,0.566788767,1.21552763,1.204242939
TheLoch,1867.694915,7.25,0.53,16.11,-23.43,4.43,11.2,0,0,5,15,39.1,662.9,316,18.4,434.3,84.6,29.8,468.6,251,639.1,421.5,0.363849765,0,723.7,667.9,0.058983255,0.212011937,0.535638071,1.037239869,1.334772769
TheLoch,1876.169492,7.83,0.55,16.62,-23.58,4.16,7.1,0,0,4.7,12.8,34.2,617.5,267.8,16.8,330.5,72.5,24,375.4,215.9,511.4,351.9,0.362280234,0,583.9,622.2,0.055384615,0.204880988,0.575119872,1.207469691,0.831300571
TheLoch,1884.644068,7.83,0.53,17.28,-23.36,4.31,7.2,0,0,2.5,17.3,41.9,801.3,303.1,20.7,413.4,83.5,24.4,361.6,248.8,516.3,403.5,0.427820796,0,599.8,803.8,0.052290029,0.222942787,0.688053097,1.552004648,1.111007347
TheLoch,1901.59322,7.9,0.53,17.5,-23.63,4.02,5.5,0,0,2.5,7.9,36.2,639,249.1,16.1,353.9,72,27.3,342.8,172.1,480.7,310,0.402275379,0,552.7,641.5,0.056651017,0.234963367,0.502042007,1.329311421,0.570240912
