"","lake_ID","age_sky","sample_start_depth","proxy_ID","response"
"103","TheLoch",1999.05084745763,1,"lutein",308.4
"104","TheLoch",1999.05084745763,1,"cantha",35.2
"105","TheLoch",1999.05084745763,1,"b_car",333.2
"106","TheLoch",1999.05084745763,1,"chl_ap",129
"107","TheLoch",1999.05084745763,1,"echine",42
"108","TheLoch",1999.05084745763,1,"pheo_a",800.2
"109","TheLoch",1999.05084745763,1,"phaeo_b",429.6
"110","TheLoch",1999.05084745763,1,"chla_pheoa",1640.1
"111","TheLoch",1999.05084745763,1,"chlb_pheob",1269.5
"112","TheLoch",1999.05084745763,1,"PI",1.04961259685079
"113","TheLoch",1999.05084745763,1,"UVR_index",0
"114","TheLoch",1999.05084745763,1,"all_chl",1769.1
"115","TheLoch",1999.05084745763,1,"all_diat",529
"116","TheLoch",1999.05084745763,1,"AD_ratio",0.0988118811881188
"117","TheLoch",1999.05084745763,1,"master_chl",0.64674712982043
"118","TheLoch",1999.05084745763,1,"perc_chlb",0.536865783554112
"119","TheLoch",1999.05084745763,1,"perc_diatox",0.307908054386928
"120","TheLoch",1999.05084745763,1,"del15N_zscore",-1.70470753765313
"121","TheLoch",1994.81355932203,1.25,"percC",7.91
"122","TheLoch",1994.81355932203,1.25,"percN",0.71
"123","TheLoch",1994.81355932203,1.25,"CN",12.99
"124","TheLoch",1994.81355932203,1.25,"del13C",-23.29
"125","TheLoch",1994.81355932203,1.25,"del15N",2.9
"126","TheLoch",1994.81355932203,1.25,"fuco",158
"127","TheLoch",1994.81355932203,1.25,"oscil",0
"128","TheLoch",1994.81355932203,1.25,"aphan",42.7
"129","TheLoch",1994.81355932203,1.25,"diadino",21.8
"130","TheLoch",1994.81355932203,1.25,"myxo",109.5
"131","TheLoch",1994.81355932203,1.25,"allo",42.1
"132","TheLoch",1994.81355932203,1.25,"diato",442.3
"133","TheLoch",1994.81355932203,1.25,"lutein",328.8
"134","TheLoch",1994.81355932203,1.25,"cantha",37.2
"135","TheLoch",1994.81355932203,1.25,"b_car",387.7
"136","TheLoch",1994.81355932203,1.25,"chl_ap",136
"137","TheLoch",1994.81355932203,1.25,"echine",38.6
"138","TheLoch",1994.81355932203,1.25,"pheo_a",891.8
"139","TheLoch",1994.81355932203,1.25,"phaeo_b",471.7
"140","TheLoch",1994.81355932203,1.25,"chla_pheoa",1646.8
"141","TheLoch",1994.81355932203,1.25,"chlb_pheob",1226.7
"142","TheLoch",1994.81355932203,1.25,"PI",0.846602377214622
"143","TheLoch",1994.81355932203,1.25,"UVR_index",0
"144","TheLoch",1994.81355932203,1.25,"all_chl",1782.8
"145","TheLoch",1994.81355932203,1.25,"all_diat",464.1
"146","TheLoch",1994.81355932203,1.25,"AD_ratio",0.0951842640741578
"147","TheLoch",1994.81355932203,1.25,"master_chl",0.530376792264088
"148","TheLoch",1994.81355932203,1.25,"perc_chlb",0.528930253420049
"149","TheLoch",1994.81355932203,1.25,"perc_diatox",0.268581491377216
"150","TheLoch",1994.81355932203,1.25,"del15N_zscore",-1.51823635322389
"151","TheLoch",1990.57627118644,1.5,"percC",7.12
"152","TheLoch",1990.57627118644,1.5,"percN",0.65
"153","TheLoch",1990.57627118644,1.5,"CN",12.73
"154","TheLoch",1990.57627118644,1.5,"del13C",-23.29
"155","TheLoch",1990.57627118644,1.5,"del15N",2.98
"156","TheLoch",1990.57627118644,1.5,"fuco",288.5
"157","TheLoch",1990.57627118644,1.5,"oscil",0
"158","TheLoch",1990.57627118644,1.5,"aphan",58.3
"159","TheLoch",1990.57627118644,1.5,"diadino",29.3
"160","TheLoch",1990.57627118644,1.5,"myxo",108.9
"161","TheLoch",1990.57627118644,1.5,"allo",63.8
"162","TheLoch",1990.57627118644,1.5,"diato",537.6
"163","TheLoch",1990.57627118644,1.5,"lutein",357
"164","TheLoch",1990.57627118644,1.5,"cantha",40.3
"165","TheLoch",1990.57627118644,1.5,"b_car",299.4
"166","TheLoch",1990.57627118644,1.5,"chl_ap",155.7
"167","TheLoch",1990.57627118644,1.5,"echine",28.2
"168","TheLoch",1990.57627118644,1.5,"pheo_a",1027.4
"169","TheLoch",1990.57627118644,1.5,"phaeo_b",544.1
"170","TheLoch",1990.57627118644,1.5,"chla_pheoa",2105.6
"171","TheLoch",1990.57627118644,1.5,"chlb_pheob",1622.3
"172","TheLoch",1990.57627118644,1.5,"PI",1.04944520147946
"173","TheLoch",1990.57627118644,1.5,"UVR_index",0
"174","TheLoch",1990.57627118644,1.5,"all_chl",2261.3
"175","TheLoch",1990.57627118644,1.5,"all_diat",566.9
"176","TheLoch",1990.57627118644,1.5,"AD_ratio",0.118675595238095
"177","TheLoch",1990.57627118644,1.5,"master_chl",0.654006484483557
"178","TheLoch",1990.57627118644,1.5,"perc_chlb",0.529589254428655
"179","TheLoch",1990.57627118644,1.5,"perc_diatox",0.25531914893617
"180","TheLoch",1990.57627118644,1.5,"del15N_zscore",-1.3690594056805
"181","TheLoch",1986.33898305085,1.75,"percC",7.3
"182","TheLoch",1986.33898305085,1.75,"percN",0.62
"183","TheLoch",1986.33898305085,1.75,"CN",13.71
"184","TheLoch",1986.33898305085,1.75,"del13C",-23.52
"185","TheLoch",1986.33898305085,1.75,"del15N",3.27
"186","TheLoch",1986.33898305085,1.75,"fuco",114.7
"187","TheLoch",1986.33898305085,1.75,"oscil",0
"188","TheLoch",1986.33898305085,1.75,"aphan",48.8
"189","TheLoch",1986.33898305085,1.75,"diadino",11.2
"190","TheLoch",1986.33898305085,1.75,"myxo",54.6
"191","TheLoch",1986.33898305085,1.75,"allo",50.5
"192","TheLoch",1986.33898305085,1.75,"diato",578.3
"193","TheLoch",1986.33898305085,1.75,"lutein",347.6
"194","TheLoch",1986.33898305085,1.75,"cantha",38.7
"195","TheLoch",1986.33898305085,1.75,"b_car",329.8
"196","TheLoch",1986.33898305085,1.75,"chl_ap",139.7
"197","TheLoch",1986.33898305085,1.75,"echine",37.4
"198","TheLoch",1986.33898305085,1.75,"pheo_a",845.5
"199","TheLoch",1986.33898305085,1.75,"phaeo_b",458.5
"200","TheLoch",1986.33898305085,1.75,"chla_pheoa",1474.7
"201","TheLoch",1986.33898305085,1.75,"chlb_pheob",1087.7
