lake_ID,age,percent_C,percent_N,CN_ratio,del13C,del15N,fucoxanthin,diadinoxanthin,myxoxanthophyll,alloxanthin,diatoxanthin,lutein,canthaxanthin,beta_carotene,echinenone,pheo_a,pheo_b,chla_pheo,chlb_pheo
SkyPond,1915,3.3,0.35,11.12,-26,3.4,129.2262277,27.75888852,0,60.39199983,359.2266187,217.6048247,2.980448967,145.3169071,38.50263196,527.8209849,299.0707652,877.776165,319.2079816
SkyPond,1919,3.32,0.37,10.58,-25.9,3.6,122.4455396,27.155405,0,50.37562563,317.6606514,230.6431436,1.022051164,143.1447538,26.2327203,685.5513071,327.5706793,1024.279859,349.949952
SkyPond,1922,3.27,0.36,10.73,-26.1,3.9,109.7665147,30.20285103,0,71.26883336,321.3492207,215.8810258,2.18688966,87.40309881,25.64883024,490.0469625,306.0952419,819.7498658,343.7756057
SkyPond,1925,3.12,0.34,10.64,-25.6,4.4,120.8546459,29.61094525,0,51.48896129,303.5182465,226.0397156,1.169036356,88.0041914,25.12773832,211.7571595,259.0101023,518.3402392,276.1580831
SkyPond,1929,3.01,0.33,10.76,-25.6,4.2,102.875004,31.44295739,0,47.14690415,291.4458674,221.7141582,0.601656659,133.547092,29.28608352,263.0596285,286.0271014,551.3128901,292.1700289
SkyPond,1932,2.91,0.3,11.2,-26,4.3,68.03472917,33.13012992,0,43.98152848,274.0647046,231.3869569,2.515503279,136.0035673,33.83286628,694.4076394,369.2118749,1026.037559,376.3522709
SkyPond,1936,2.85,0.3,11.03,-25.6,4,73.05664726,32.16790474,0,55.62267853,274.1020284,220.3672814,4.792342921,117.8494628,29.61177739,396.2441244,361.5553889,708.4117873,368.6691014
SkyPond,1939,2.7,0.27,11.76,-25.9,3.9,100.2205083,30.83694341,0,54.79560665,302.2643159,274.6214961,6.838981924,145.9525669,36.67978688,671.1185425,475.1466412,1052.452224,489.1581848
SkyPond,1942,3.13,0.31,11.64,-26.2,3.9,64.1610314,29.23448084,0,46.95803567,218.773372,198.8173619,6.562422925,125.9259129,29.46410584,587.2098191,486.9578036,885.9979724,495.8398495
SkyPond,1946,2.93,0.31,10.93,-25.9,3.7,74.31489994,69.02974042,0,40.22794098,223.6753004,316.9265377,9.499594915,106.8888665,17.43346659,612.8494965,454.5879414,951.3820471,471.2100484
SkyPond,1949,2.87,0.31,10.75,-25.4,3.1,108.612046,65.10488434,0,32.80932425,205.3236711,366.9072355,11.95724679,117.156313,22.1716548,644.7437546,624.4788209,977.9475706,668.0992482
SkyPond,1953,3.03,0.31,11.26,-25.9,2.8,111.1920688,56.68373551,0,41.74275394,189.9154455,433.3224968,15.98708301,127.7476593,43.52577688,751.7755621,740.5060272,1064.712501,773.5995046
SkyPond,1956,3.18,0.35,10.73,-25.9,2.8,128.5373626,58.31813703,0,54.26929314,157.5926884,402.7472763,19.9160893,138.8856258,18.19472772,1027.982762,1063.647943,1375.725687,1102.909717
SkyPond,1959,3.12,0.33,10.99,-25.9,2.5,181.5247581,68.28800988,0,75.16070464,168.2358192,407.489535,34.1505752,227.7752359,16.85199423,542.7126122,1021.637701,1030.565523,1049.224329
SkyPond,1963,3.23,0.34,11.03,-26.3,2.9,204.1783679,100.2431004,0,100.6008831,188.0921772,426.9228139,42.01086502,211.142865,31.76612923,937.2753785,1132.302763,1543.235808,1187.199845
SkyPond,1966,3.27,0.35,10.88,-26.3,2.3,120.950122,109.5619371,0,84.76917179,183.2478401,409.1528253,50.78103112,231.5996853,13.47488308,893.0998236,1228.091667,1597.791785,1316.62228
SkyPond,1970,3.36,0.38,10.43,-26.3,2.5,129.2342046,84.74417235,0,86.1935908,178.879362,362.5796732,42.93366292,166.8994082,20.18869106,846.721324,916.1381124,1573.867049,983.016842
SkyPond,1973,3.2,0.34,11.13,-26.6,1.9,155.9597429,108.3305778,0,127.0793756,211.0691209,332.332151,49.29227163,241.5549461,21.76770722,965.8404789,1044.933694,1828.191291,1119.043061
SkyPond,1976,3.28,0.35,10.82,-26.7,2,185.725656,57.67086726,0,74.53427954,191.059796,360.6467102,41.0116876,242.4506565,17.44426757,967.8074697,926.9880217,1949.503908,1003.964453
SkyPond,1980,3.24,0.36,10.59,-26.4,1.9,249.7290395,80.07973664,0,113.5216996,234.6917364,389.396245,55.60172142,229.7345093,20.68150881,1064.108921,943.9146581,2201.524775,1031.007284
SkyPond,1983,3.25,0.36,10.64,-26.7,1.5,230.430105,70.82935778,0,106.5111802,216.9000453,357.7580842,48.24912264,241.0534506,18.05442805,1059.85318,1000.33572,2189.165701,1083.05776
SkyPond,1986,3.36,0.37,10.47,-26.7,2.3,276.7897929,66.33996017,0,121.3689838,196.5887836,352.6440844,51.10597513,243.9540687,19.73082572,1062.755656,992.6451947,2187.774726,1106.923186
