lake_ID,sample_number,sample_ID,sample_start_depth,depth_plot,depth_range,chl_c1,chl_c2,perid,fuco,sed_A,sed_B,sed_C,oscil,aphan,diadino,sudan,myxo,allo,diato,lutein,cantha,chl_b ,okenone,chl_a ,chl_ap,echine,phaeo_B,pheo_A,B-car
SkyPond,60,SPDC_060,11.80,13.00,11.8-13,0,0,0,3.481912912,0,0,0.015270743,0,0,0,1690.31934,0,3.625775969,10.44369886,7.736169055,0.036037391,0.173789676,0,8.594800853,6.874564647,1.070336414,17.76262506,23.46748445,5.448595568
SkyPond,65,SPDC_065,13.00,13.20,13-13.2,0,0,0,3.156560251,0,0,0.25225776,0,0,0,1626.43726,0,4.107963132,10.24949543,6.104238494,0.141214487,0,0,6.6636392,5.851475383,0.868802175,13.34514026,20.15067158,4.471499988
SkyPond,67,SPDC_067,13.40,13.60,13.4-13.6,0,0,0,2.33693923,0,0,0.177609264,0,0,0,1546.33728,0,2.981728837,6.539731284,7.235913552,0.141265638,0,0,5.486081846,5.925748,0.864606354,14.85095236,21.0455193,2.191923858
SkyPond,69,SPDC_069,13.80,14.00,13.8-14,0,0,0,1.545138269,0,0,0.242522921,0,0,0,1599.72864,0,2.238783989,5.186950969,7.526664375,0.231076661,0,0,5.091244938,5.567937097,0.80599297,15.03519806,18.44263652,2.021866595
SkyPond,71,SPDC_071,14.20,14.40,14.2-14.4,0,0,0,1.86315549,0,0,0.167615005,0,0,0,1622.3457,0,3.004555057,6.653486493,6.875364745,0.146259461,0,0,4.782989914,4.90753018,0.880566325,16.62329047,25.85102075,5.452206096
SkyPond,73,SPDC_073,14.60,14.80,14.6-14.8,0,0,0,2.291822758,0,0,0.067279455,0,0,0,1629.89185,0,2.888075078,7.250162124,5.91285796,0.225105388,0,0,5.104362423,4.864177635,0.264691161,11.79608701,19.20967231,4.670773118
SkyPond,76,SPDC_076,15.20,15.40,15.2-15.4,0,0,0,2.438771086,0,0,0.03863033,0,0,0,1527.18335,0,2.943784576,12.42607321,6.294725462,0.138082508,0,0,6.869332281,6.751920735,0.900826198,11.61921598,20.83302805,2.522261202
SkyPond,79,SPDC_079,15.80,16.00,15.8-16,0,0,0,2.247639927,0,0,0.024601339,0,0,0,1624.00281,0,1.918358877,12.79433422,7.519540123,0.280165568,0,0,8.62710165,6.825743369,0.766122181,11.79160363,20.47251245,4.353489575
SkyPond,84,SPDC_084,16.80,17.00,16.8-17,0,0,0,2.457086362,0,0,0.012755678,0,0,0,1602.89221,0,1.392982387,11.68647735,6.19050153,0.15921649,0,0,7.428305089,5.263010943,0.709424941,6.861964815,7.612308603,5.057531095
SkyPond,89,SPDC_089,17.80,18.00,17.8-18,0,0,0,1.509101678,0,0,0.041157061,0,0,0,1577.70496,0,1.395345771,8.954552768,5.416416408,0.147408431,0,0,6.273330853,6.002934905,0.649238135,7.364008058,13.83048161,2.907439681
SkyPond,94,SPDC_094,18.80,19.00,18.8-19,0,0,0,1.310290263,0,0,0.026629983,0,0,0,1524.57935,0,0.947528297,8.029686371,4.184841256,0.052686429,0,0,5.758442297,3.967280192,0.358840122,4.634442127,10.92309255,0.998120795
SkyPond,99,SPDC_099,19.80,20.00,19.8-20,0,0,0,0.644478777,0,0.040394389,0.013464796,0,0,0,1536.13892,0,0.448123717,4.723817387,3.094335121,0.072194031,0,0,4.161724001,2.589148868,0.16488502,3.807039944,7.147504132,0.633603259
SkyPond,104,SPDC_0104,20.80,21.00,20.8-21,0,0,0,0.93831515,0,0,0,0,0,0,1551.73499,0,1.080931514,6.646807459,3.008898065,0.073088899,0,0,4.612048499,3.49250649,0.276870222,3.841259506,10.94024376,1.327632411
SkyPond,109,SPDC_0109,21.80,22.00,21.8-22,0,0,0,1.706927979,0,0,0,0,0,0,1600.87219,0,1.174959956,11.19684245,3.948929839,0.038808796,0,0,8.844857539,6.519276461,0.488196712,5.727390883,14.35441784,1.265814892
SkyPond,114,SPDC_0114,22.80,23.00,22.8-23,0,0,0,2.932079445,0,0,0,0,0,0,1627.31177,0,2.212248294,21.3494258,4.598577742,0.11103884,0,0,13.86601813,8.771314513,0.644200525,7.088556469,18.50064682,2.737569975
SkyPond,119,SPDC_0119,23.80,24.00,23.8-24,0,0,0,2.986087107,0,0,0,0,0,0,1593.37329,0,2.184550279,19.51094014,3.957706827,0.061644303,0,0,12.06406269,7.746748475,0.531900375,4.433794692,14.12540054,1.591633527
