"VEMAP Grid Cell row 17, col 37 (base 0) latitude 40.25 longitude -105.75 (near Loch Vale)"					
Historic	year	month	ppt(mm)	tmin	tmax
	1909.08	2	74	-14.4	-0.9
	1909.17	3	118	-11.7	1.7
	1909.25	4	89	-9.1	5.1
	1909.33	5	54	-4.2	11.4
	1909.42	6	46	1.8	18.6
	1909.5	7	62	3.8	21
	1909.58	8	70	5.3	20.5
	1909.67	9	73	-0.1	15.8
	1909.75	10	24	-4.4	10.9
	1909.83	11	86	-8.8	2.6
	1909.92	12	78	-19.7	-7.9
	1910	1	36	-13.9	-1
	1910.08	2	62	-16.2	-1.4
	1910.17	3	40	-6.2	10.4
	1910.25	4	50	-5.7	9.1
	1910.33	5	75	-1.7	11.1
	1910.42	6	25	1.1	19.8
	1910.5	7	65	5.7	22.4
	1910.58	8	26	3.9	20.9
	1910.67	9	49	1.1	17.5
	1910.75	10	44	-4.8	11.4
	1910.83	11	46	-7.9	3.2
	1910.92	12	54	-14.1	-1.8
	1911	1	65	-11.2	1
	1911.08	2	64	-14.9	-2.3
	1911.17	3	49	-8.7	6.9
	1911.25	4	75	-7.3	7.4
	1911.33	5	29	-2.8	14.2
	1911.42	6	45	2.7	19.1
	1911.5	7	65	2.5	18.4
	1911.58	8	40	2.4	21.2
	1911.67	9	33	1.8	16.7
	1911.75	10	53	-6.6	8
	1911.83	11	68	-12.7	0.1
	1911.92	12	43	-15.9	-5.2
	1912	1	63	-14.1	-0.8
	1912.08	2	96	-14.2	-2.4
	1912.17	3	103	-15.2	0.6
	1912.25	4	68	-7.3	6.2
	1912.33	5	70	-3.2	12.3
	1912.42	6	61	0.2	16.2
	1912.5	7	106	2.9	19
	1912.58	8	54	3.2	20
	1912.67	9	63	-2.9	12.1
	1912.75	10	56	-5	9.3
	1912.83	11	57	-10.4	3.7
	1912.92	12	54	-15.9	-3.7
	1913	1	52	-15.8	-3.1
	1913.08	2	72	-17	-3.3
	1913.17	3	45	-12.7	2.5
	1913.25	4	65	-6.9	8.7
	1913.33	5	42	-2.2	13.3
	1913.42	6	33	1.2	17.5
	1913.5	7	82	2.5	19.6
	1913.58	8	32	4.4	21.9
	1913.67	9	74	-0.8	13.7
	1913.75	10	60	-5.8	7.1
	1913.83	11	52	-8.6	4.7
	1913.92	12	135	-18.7	-5.3
	1914	1	49	-11.1	0
	1914.08	2	47	-15.4	-2.1
	1914.17	3	67	-11.4	4.5
	1914.25	4	102	-5.6	6.7
	1914.33	5	77	-2.4	13.3
	1914.42	6	38	1.3	18.6
	1914.5	7	71	3.8	19.5
	1914.58	8	67	3.2	20.5
	1914.67	9	21	0.2	18.2
	1914.75	10	72	-3.2	9.7
	1914.83	11	33	-10.6	6
	1914.92	12	39	-17.9	-6.6
	1915	1	51	-15.4	-2.6
	1915.08	2	74	-11.9	1.1
	1915.17	3	81	-12.9	0.2
	1915.25	4	102	-3.8	10
	1915.33	5	85	-4.7	10.1
	1915.42	6	46	0	16.4
	1915.5	7	37	1.8	19.7
	1915.58	8	52	2.4	18.3
	1915.67	9	78	0.2	15.5
	1915.75	10	52	-4.7	11.4
	1915.83	11	57	-9.5	1.2
	1915.92	12	69	-14.9	-1.2
	1916	1	80	-16.4	-5
	1916.08	2	51	-12.9	2
	1916.17	3	64	-8.3	6.3
	1916.25	4	61	-7.1	7.2
	1916.33	5	67	-4	12.6
	1916.42	6	9	0.5	18.6
	1916.5	7	53	4.7	20.9
	1916.58	8	62	3.7	18.5
	1916.67	9	37	-1	16.9
	1916.75	10	91	-4.5	7.9
	1916.83	11	81	-14.1	0.1
	1916.92	12	77	-16	-5.7
	1917	1	48	-16.1	-3.8
	1917.08	2	63	-13	-0.5
	1917.17	3	80	-15.6	-0.5
	1917.25	4	83	-7.9	5.2
	1917.33	5	133	-4.4	8.4
	1917.42	6	9	0	19.8
	1917.5	7	51	4.5	21.5
	1917.58	8	37	2.6	18.9
	1917.67	9	20	0.7	17.7
	1917.75	10	42	-6.2	9
	1917.83	11	57	-7.9	5
	1917.92	12	52	-10.9	-0.1
	1918	1	70	-17.3	-5.7
	1918.08	2	82	-13.3	2
	1918.17	3	71	-8.8	6.6
	1918.25	4	93	-8.5	3.5
	1918.33	5	50	-2.8	14.3
	1918.42	6	42	3.3	20.8
	1918.5	7	83	3.4	19.4
	1918.58	8	39	3.9	20.8
	1918.67	9	81	-0.2	14.7
	1918.75	10	49	-2.3	10.4
	1918.83	11	72	-13.9	-0.4
	1918.92	12	59	-14.4	-3.4
	1919	1	19	-15.2	-0.6
	1919.08	2	52	-14	-1.9
	1919.17	3	76	-11.1	3.7
	1919.25	4	71	-5.8	8.4
	1919.33	5	29	-3	13.8
	1919.42	6	15	0.8	19.5
	1919.5	7	75	5.8	21.4
	1919.58	8	33	4.1	21.7
	1919.67	9	51	2.4	17
	1919.75	10	62	-6.5	6.5
	1919.83	11	97	-13	0.5
	1919.92	12	54	-16.2	-2
	1920	1	52	-12.4	-0.2
	1920.08	2	64	-13	-0.9
	1920.17	3	61	-12.5	2.4
	1920.25	4	149	-9.8	1.8
	1920.33	5	52	-2.1	13.9
	1920.42	6	28	0.7	17.4
	1920.5	7	43	2.9	20.8
	1920.58	8	66	3.2	17.9
	1920.67	9	34	-0.8	16.1
	1920.75	10	59	-4.8	8.6
	1920.83	11	62	-12.1	-0.6
	1920.92	12	66	-14.8	-2.7
	1921	1	64	-13.7	-1.3
	1921.08	2	49	-13.5	0.3
	1921.17	3	67	-8.8	6
	1921.25	4	133	-8.6	4.9
	1921.33	5	50	-1.9	13.1
	1921.42	6	76	2.1	18.1
	1921.5	7	65	3.1	20
	1921.58	8	64	4.3	19
	1921.67	9	16	-0.8	18
	1921.75	10	34	-2.9	11.3
	1921.83	11	60	-9.4	2.7
	1921.92	12	77	-11.9	-0.4
	1922	1	50	-18.1	-5.8
	1922.08	2	68	-15	-1.4
	1922.17	3	73	-12.7	3.9
	1922.25	4	104	-7.5	4.9
	1922.33	5	41	-2.7	12.9
	1922.42	6	21	1.9	20.4
	1922.5	7	48	3	19.3
	1922.58	8	63	5.5	20.9
	1922.67	9	12	0	17.6
	1922.75	10	40	-5.6	9.5
	1922.83	11	102	-12.3	-1.5
