"VEMAP Grid Cell row 17, col 37 (base 0) latitude 40.25 longitude -105.75 (near Loch Vale)"					
Historic	year	month	ppt(mm)	tmin	tmax
	1956.42	6	20	1.1	20.5
	1956.5	7	79	2.3	20.3
	1956.58	8	54	2.3	19
	1956.67	9	6	-1.2	19.6
	1956.75	10	27	-5.7	11.1
	1956.83	11	60	-13.6	-0.5
	1956.92	12	61	-15.2	-1.3
	1957	1	84	-16	-3.8
	1957.08	2	69	-10.5	3
	1957.17	3	78	-11.2	3.1
	1957.25	4	156	-8.5	4.7
	1957.33	5	144	-3.1	9.7
	1957.42	6	57	1.2	17.2
	1957.5	7	69	4.4	19.7
	1957.58	8	62	4.9	20
	1957.67	9	35	-1.9	15.6
	1957.75	10	66	-3.5	8.9
	1957.83	11	57	-13.2	-0.2
	1957.92	12	44	-13.8	0.5
	1958	1	40	-16.9	-1.7
	1958.08	2	52	-9.8	3
	1958.17	3	103	-13.4	1.8
	1958.25	4	83	-8.3	5.7
	1958.33	5	75	-1.9	15.1
	1958.42	6	33	1.1	20
	1958.5	7	30	1.3	19.5
	1958.58	8	46	4.3	22.1
	1958.67	9	30	-0.1	17.9
	1958.75	10	27	-5.1	11.4
	1958.83	11	64	-10.1	3
	1958.92	12	72	-11.6	-0.2
	1959	1	60	-14.1	-1.9
	1959.08	2	71	-14.3	-1
	1959.17	3	82	-12	2
	1959.25	4	74	-7.3	6.2
	1959.33	5	77	-2.5	12.6
	1959.42	6	54	2	20.1
	1959.5	7	47	1.3	20.9
	1959.58	8	43	4.1	20.5
	1959.67	9	100	-1.4	15.8
	1959.75	10	81	-5	7.5
	1959.83	11	48	-11.9	1.6
	1959.92	12	23	-14.6	0.9
	1960	1	40	-15.9	-2.9
	1960.08	2	75	-16.6	-4.4
	1960.17	3	96	-8.7	4.3
	1960.25	4	61	-5.5	9.4
	1960.33	5	80	-3.3	13
	1960.42	6	25	0.8	19.5
	1960.5	7	51	1.8	21.1
	1960.58	8	19	2.5	22.3
	1960.67	9	39	0.6	18.3
	1960.75	10	54	-4.4	10.2
	1960.83	11	57	-10.8	3
	1960.92	12	60	-15.6	-1.1
	1961	1	28	-18.2	-0.9
	1961.08	2	54	-13.6	0.4
	1961.17	3	97	-9.8	3.7
	1961.25	4	89	-7.8	6.1
	1961.33	5	91	-2.7	13.6
	1961.42	6	49	0.8	19
	1961.5	7	88	2.8	19.7
	1961.58	8	74	4.9	20.5
	1961.67	9	150	-1.1	11.6
	1961.75	10	34	-4.5	10
	1961.83	11	68	-12.9	-0.1
	1961.92	12	53	-15.7	-4.5
	1962	1	80	-19.1	-4.3
	1962.08	2	80	-11	0.8
	1962.17	3	55	-14.3	1.3
	1962.25	4	80	-5.8	9.6
	1962.33	5	55	-2.4	13.3
	1962.42	6	56	0.2	17.3
	1962.5	7	44	1.4	20
	1962.58	8	20	1.7	21.3
	1962.67	9	23	-0.8	17.4
	1962.75	10	38	-4.4	12
	1962.83	11	50	-9.5	4.1
	1962.92	12	38	-12.4	0.4
	1963	1	68	-17.3	-5.2
	1963.08	2	62	-11.1	2
	1963.17	3	75	-12.9	3.2
	1963.25	4	41	-5.7	9.1
	1963.33	5	30	-2.4	15.7
	1963.42	6	89	1.1	18.4
	1963.5	7	31	3.5	22.5
	1963.58	8	130	5.4	19.3
	1963.67	9	44	1.3	19
	1963.75	10	29	-2.5	14.1
	1963.83	11	44	-9.7	4.4
	1963.92	12	50	-14.6	-1.7
	1964	1	38	-18.2	-4.5
	1964.08	2	51	-18.3	-4
	1964.17	3	87	-15.3	-0.1
	1964.25	4	78	-7.5	5.8
	1964.33	5	47	-3.3	13.8
	1964.42	6	47	0.3	17.4
	1964.5	7	46	4	22.4
	1964.58	8	46	3	19.4
	1964.67	9	31	-1.3	17
	1964.75	10	18	-6	11.9
	1964.83	11	64	-10.3	1.6
	1964.92	12	88	-14.9	-3.4
	1965	1	75	-12.4	-1.5
	1965.08	2	48	-15.3	-0.8
	1965.17	3	97	-16.5	-1
	1965.25	4	75	-6.1	7.8
	1965.33	5	66	-3.3	11.5
	1965.42	6	74	0.9	16.3
	1965.5	7	104	3.6	19.1
	1965.58	8	43	2.5	18.5
	1965.67	9	62	-0.9	12.5
	1965.75	10	19	-4.2	12
	1965.83	11	70	-7.7	2.6
	1965.92	12	46	-13.6	0.4
	1966	1	27	-16.8	-3.3
	1966.08	2	58	-16.3	-3
	1966.17	3	43	-11.1	5.4
	1966.25	4	68	-7.3	7.9
	1966.33	5	44	-2.7	14.2
	1966.42	6	36	0.9	17.8
	1966.5	7	47	4.8	22
	1966.58	8	46	3.4	20.2
	1966.67	9	43	1	16.7
	1966.75	10	47	-4.8	9.1
	1966.83	11	49	-8.4	3.3
	1966.92	12	62	-15.4	-3.3
	1967	1	63	-12.9	-2.5
	1967.08	2	74	-14.4	-1.3
	1967.17	3	84	-8.3	6
	1967.25	4	77	-6.3	8.5
	1967.33	5	73	-3.3	10.8
	1967.42	6	73	0.4	15.5
	1967.5	7	65	4.2	20.1
	1967.58	8	68	3.1	19.1
	1967.67	9	58	0.1	15.6
	1967.75	10	49	-3.8	10
	1967.83	11	69	-10.9	1.8
	1967.92	12	86	-16.1	-4.8
	1968	1	29	-15.5	-0.9
	1968.08	2	75	-12.3	0.2
	1968.17	3	53	-11.9	4.4
	1968.25	4	74	-9	4.6
	1968.33	5	66	-3.5	10.4
	1968.42	6	25	1.1	18.8
	1968.5	7	38	3	19.6
	1968.58	8	57	3.9	17.6
	1968.67	9	30	-1.1	14.9
	1968.75	10	39	-4.1	9.6
	1968.83	11	95	-13.4	-2
	1968.92	12	41	-14.7	-2.7
	1969	1	70	-11	-0.1
	1969.08	2	47	-14.5	0.1
	1969.17	3	51	-15.5	1.1
	1969.25	4	78	-5.4	9
	1969.33	5	125	-1.8	14.9
	1969.42	6	140	0.6	14.6
	1969.5	7	36	4.4	21.2
	1969.58	8	42	5.4	21.9
	1969.67	9	33	1.3	16.5
	1969.75	10	139	-6	3.3
	1969.83	11	53	-13	0.1
	1969.92	12	58	-13.5	-1.3
	1970	1	51	-13.1	-3.3
	1970.08	2	47	-13.4	1.6
	1970.17	3	101	-12.3	1.3
	1970.25	4	72	-10.1	3.6
	1970.33	5	25	-3.5	13.4
	1970.42	6	59	0.6	17.7
	1970.5	7	47	3.7	20.5
	1970.58	8	45	5.1	21.3
	1970.67	9	70	-0.8	14.6
	1970.75	10	68	-7	5.2
	1970.83	11	79	-9.3	-0.1
	1970.92	12	43	-13.6	-1.7
	1971	1	57	-11	-2.6
	1971.08	2	74	-14.2	-2.3
	1971.17	3	72	-11.3	1.9
	1971.25	4	128	-7.3	7
	1971.33	5	58	-3.4	11.4
	1971.42	6	13	1.2	18.7
	1971.5	7	41	3	19.7
	1971.58	8	40	4.1	20.5
	1971.67	9	66	-1.9	13.9
	1971.75	10	39	-5.3	8.3
	1971.83	11	55	-10.9	0.9
	1971.92	12	54	-15.9	-3.6
	1972	1	75	-14.8	-2.7
	1972.08	2	56	-12.5	0.5
	1972.17	3	72	-7.3	5.9
	1972.25	4	78	-5.1	8.5
	1972.33	5	41	-3	13.1
	1972.42	6	46	2.2	18.5
	1972.5	7	33	2.4	20.2
	1972.58	8	64	3.3	19.3
	1972.67	9	47	0.6	14.1
	1972.75	10	66	-3.1	8.4
	1972.83	11	74	-12.9	-2.1
	1972.92	12	62	-16.6	-4
	1973	1	39	-17.3	-2.7
	1973.08	2	35	-16.1	0.2
	1973.17	3	71	-12.9	2.8
	1973.25	4	110	-11	4.1
	1973.33	5	112	-3.3	11.2
	1973.42	6	28	0.4	17
	1973.5	7	84	2.8	18.9
	1973.58	8	34	3.8	19.7
	1973.67	9	38	-1.1	14.8
	1973.75	10	32	-5.4	10.5
	1973.83	11	100	-10	1.6
	1973.92	12	74	-14.7	-1.9
	1974	1	57	-17	-4.3
	1974.08	2	48	-17.4	-1.2
	1974.17	3	89	-8.1	5.9
	1974.25	4	90	-8.1	7
	1974.33	5	14	-2.9	14.7
	1974.42	6	59	1.8	18.9
	1974.5	7	79	3.8	19.8
	1974.58	8	19	1.5	19.7
	1974.67	9	49	-1.6	15.9
	1974.75	10	69	-3.1	10.3
	1974.83	11	63	-11.3	1.4
	1974.92	12	46	-16.7	-3.4
	1975	1	62	-15.7	-2.8
	1975.08	2	62	-15.4	-1.6
	1975.17	3	85	-10.4	2.8
	1975.25	4	91	-11.4	5.9
	1975.33	5	78	-4.9	10.7
	1975.42	6	39	0.6	16.2
	1975.5	7	63	3.4	20.3
	1975.58	8	32	3.2	18.9
	1975.67	9	27	-1.2	16.6
	1975.75	10	46	-5.8	11.4
	1975.83	11	74	-12.5	1.3
	1975.92	12	34	-12.7	-0.6
	1976	1	45	-14.8	-2.1
	1976.08	2	58	-12.5	2.6
	1976.17	3	68	-13.2	2.7
	1976.25	4	70	-6.2	8.6
	1976.33	5	67	-2.7	12.7
	1976.42	6	40	0.5	17.9
	1976.5	7	54	4.1	20.7
	1976.58	8	64	3.9	19
	1976.67	9	69	0.6	15.7
	1976.75	10	31	-6.5	8.7
	1976.83	11	42	-11.4	2.1
	1976.92	12	30	-17	-0.4
	1977	1	28	-15.5	-2.6
	1977.08	2	44	-11.8	1.7
	1977.17	3	60	-12.5	2.5
	1977.25	4	97	-4.7	9.1
	1977.33	5	54	-2	13.3
	1977.42	6	21	3.3	21.3
	1977.5	7	90	4.5	20.6
	1977.58	8	71	4.4	19.2
	1977.67	9	25	0.7	17.4
	1977.75	10	49	-3.3	10.9
	1977.83	11	84	-8.9	2.3
	1977.92	12	69	-11.3	-2
	1978	1	58	-12.5	-2.4
	1978.08	2	63	-12.7	-0.2
	1978.17	3	75	-8	5.6
	1978.25	4	69	-5.4	9
	1978.33	5	114	-2.7	11.6
	1978.42	6	26	1.4	20
	1978.5	7	24	3.4	23.1
	1978.58	8	22	2	21.2
	1978.67	9	16	-0.2	18.1
	1978.75	10	53	-5.2	11.6
	1978.83	11	49	-10.6	2.9
	1978.92	12	90	-17.4	-5
	1979	1	86	-17.6	-6.3
	1979.08	2	49	-12.3	0.4
	1979.17	3	92	-9.1	4
	1979.25	4	56	-7.2	8.2
	1979.33	5	100	-3	11.9
	1979.42	6	50	0.8	18.5
	1979.5	7	34	3	21.8
	1979.58	8	67	3.8	20.2
	1979.67	9	14	0.1	19.4
	1979.75	10	32	-4	12.2
	1979.83	11	63	-13.7	-2.8
	1979.92	12	61	-14.5	0.1
	1980	1	131	-13.5	-1.5
	1980.08	2	72	-11.4	1.4
	1980.17	3	77	-11.4	2.3
	1980.25	4	77	-8.4	6.8
	1980.33	5	87	-2	11.7
	1980.42	6	3	0.6	21
	1980.5	7	36	4.2	22.6
	1980.58	8	44	3.2	21.1
	1980.67	9	36	0.9	17.8
	1980.75	10	30	-5.7	9.9
	1980.83	11	71	-9.8	2.6
	1980.92	12	32	-8.4	3.7
	1981	1	17	-12.6	2.5
	1981.08	2	29	-12.4	1.5
	1981.17	3	71	-9.2	4
	1981.25	4	39	-4.5	11.3
	1981.33	5	100	-1.8	11.1
	1981.42	6	53	3.3	20.6
	1981.5	7	69	4.5	20.9
	1981.58	8	60	4.3	20.3
	1981.67	9	29	1.3	18.1
	1981.75	10	34	-3.6	7.9
	1981.83	11	34	-7.9	3.9
	1981.92	12	26	-11.6	-1.7
	1982	1	94	-13.3	-2.6
	1982.08	2	31	-13.7	0.1
	1982.17	3	63	-8.6	4
	1982.25	4	62	-8.1	6.8
	1982.33	5	112	-2.3	11.1
	1982.42	6	40	0.3	16.8
	1982.5	7	56	3.6	20.8
	1982.58	8	61	6	21.5
	1982.67	9	79	1.6	15.4
	1982.75	10	63	-5.1	7.3
	1982.83	11	45	-12	0.1
	1982.92	12	102	-13.8	-1.9
	1983	1	27	-12.3	0.4
	1983.08	2	50	-11.5	1.7
	1983.17	3	151	-8.8	3.7
	1983.25	4	110	-9.6	3.8
	1983.33	5	123	-3.6	10
	1983.42	6	61	1.1	16.9
	1983.5	7	103	4.2	21
	1983.58	8	85	6.5	21.7
	1983.67	9	22	1.6	18.3
	1983.75	10	46	-2.9	10.3
	1983.83	11	62	-8.8	0.3
	1983.92	12	77	-13.8	-4.9
	1984	1	31	-17	-3.1
	1984.08	2	33	-14.2	1
	1984.17	3	76	-10.2	2.7
	1984.25	4	116	-8.6	4.8
	1984.33	5	57	-1.7	14.4
	1984.42	6	87	2.1	16.9
	1984.5	7	102	5.3	20.9
	1984.58	8	90	5.6	20.2
	1984.67	9	65	1	16
	1984.75	10	46	-5	4.7
	1984.83	11	120	-9.9	1.6
	1984.92	12	139	-13.2	-1.1
	1985	1	48	-15.5	-3.2
	1985.08	2	55	-15.6	-2.2
	1985.17	3	78	-9.5	4.3
	1985.25	4	87	-4.4	9.4
	1985.33	5	50	-1.5	13.4
	1985.42	6	31	1.7	19.4
	1985.5	7	73	4.8	19.8
	1985.58	8	14	3.2	21.8
	1985.67	9	79	0.3	13.9
	1985.75	10	106	-3.6	9.4
	1985.83	11	64	-10.1	-1.5
	1985.92	12	51	-13.3	-1.3
	1986	1	29	-12	2
	1986.08	2	178	-9.1	0.6
	1986.17	3	43	-7.2	7.7
	1986.25	4	122	-5.1	8.1
	1986.33	5	57	-2.8	13.1
	1986.42	6	39	3.1	19.9
	1986.5	7	51	3.9	19.2
	1986.58	8	52	4.8	20.7
	1986.67	9	53	0.7	14.3
	1986.75	10	66	-3.5	8.9
	1986.83	11	122	-9.4	1.9
	1986.92	12	60	-14.7	-0.6
	1987	1	51	-14.5	-1.7
	1987.08	2	40	-11.2	2.2
	1987.17	3	54	-10.9	4.6
	1987.25	4	48	-6.4	10.7
	1987.33	5	74	-0.5	12.9
	1987.42	6	43	2.4	19.6
	1987.5	7	60	3.7	21.6
	1987.58	8	40	3.9	20
	1987.67	9	28	-0.7	16.9
	1987.75	10	78	-2.9	11.5
	1987.83	11	64	-9.5	1.4
	1987.92	12	26	-14.1	-3
	1988	1	79	-15.8	-3.6
	1988.08	2	60	-13.7	1.3
	1988.17	3	91	-13.2	3.5
	1988.25	4	69	-6.2	9.3
	1988.33	5	57	-1.8	13.6
	1988.42	6	41	4.1	20.5
	1988.5	7	53	3.7	21.2
	1988.58	8	22	4.8	21.9
	1988.67	9	27	0.2	16.6
	1988.75	10	36	-2.3	12.2
	1988.83	11	61	-9.1	0.3
	1988.92	12	89	-15.4	-2.1
	1989	1	43	-14.7	-1.4
	1989.08	2	79	-13.9	-1
	1989.17	3	58	-7.6	7.4
	1989.25	4	70	-5	9.5
	1989.33	5	57	-1.6	14.4
	1989.42	6	37	1.5	17.9
	1989.5	7	62	4.2	22.7		
	1989.58	8	48	3.8	19.8		
	1989.67	9	28	0.4	17.6		
	1989.75	10	18	-4.7	10		
	1989.83	11	76	-10	2.1		21649
	1989.92	12	63	-14.6	-3		
	1990	1	44	-13.3	0		
	1990.08	2	47	-12.7	1.4		
	1990.17	3	125	-8.5	5.6		
	1990.25	4	89	-5.1	8.9		
	1990.33	5	71	-3.5	12.8		
	1990.42	6	14	2.2	21.7		
	1990.5	7	67	3.7	19.3		
	1990.58	8	55	3.5	20.8		
	1990.67	9	46	2.3	18.6		
	1990.75	10	44	-4.1	9.8		
	1990.83	11	45	-9.1	3.4
	1990.92	12	67	-16.9	-3.6
	1991	1	57	-15.3	-3
	1991.08	2	33	-11.3	3.5
	1991.17	3	103	-9.5	3.3
	1991.25	4	79	-7.7	6.5
	1991.33	5	72	-2	13.5
	1991.42	6	73	2	18.2
	1991.5	7	70	3.1	20
	1991.58	8	78	4.2	19.9
	1991.67	9	34	-0.2	16.3
	1991.75	10	54	-5.2	10.5
	1991.83	11	40	-10.6	-2
	1991.92	12	49	-14.5	-0.2
	1992	1	42	-14.3	-1.5
	1992.08	2	37	-10.4	2.1
	1992.17	3	97	-8.4	5.5
	1992.25	4	59	-5.5	10.7
	1992.33	5	73	-1.5	13.5
	1992.42	6	52	0.8	16.2
	1992.5	7	51	2.1	18.9
	1992.58	8	63	2.8	19.1
	1992.67	9	26	0.3	17.3
	1992.75	10	29	-3.6	11.3
	1992.83	11	101	-12.8	-3.8
	1992.92	12	17	-15.8	-3
	1993	1	64	-14.2	-2.8
	1993.08	2	111	-14.2	-2.2
	1993.17	3	89	-9.6	4.9
	1993.25	4	110	-7.5	6.1
	1993.33	5	46	-1.9	13.1
	1993.42	6	64	0.4	17.2
	1993.5	7	20	2.1	20.1
	1993.58	8	37	3.9	19
	1993.67	9	70	-1.4	15.2
	1993.75	10	28	-5.1	7.7
	1993.83	11	78	-13.2	-1.2
	1993.92	12	47	-13.4	-1.4
