lake_ID,depth_range,depth_plot,age_jack,sample_ID,mass_HPLC,mass_CN,del15N,del13C,ugN,ugC,percN,percC,CN,fuco,sed_A,sed_B,sed_C,oscil,aphan,diadino,sudan,myxo,allo,diato,lutein,cantha,chl_b,okenone,chl_a,chl_ap,echine,phaeo_b,pheo_a,b_car,Fuco_raw,Sed_A_raw,Sed_B_raw,Sed_C_raw,Oscil_raw,Aphan_raw,Diadino_raw,Sudan_raw,Myxo_raw,Allo_raw,Diato_raw,Lutein_raw,Cantha_raw,Chl_b _raw,Okenone_raw,Chl_a _raw,Chl_ap_raw,Echine_raw,Phaeo_B_raw,Pheo_A_raw,B-car_raw
TheLoch,2.75-3.00,3,1857.6,LVDC3_012A,53.78,4.12,3.37,-23.84,23.22,345.06,0.56,8.38,17.34,39.2,0,0,0,0,17.3,9.5,1767.6,21.4,33.9,480.3,237.7,21.2,14.6,0,232.6,72,22.8,234.9,454.5,281.5,3.283946454,0,0,0,0,1.452657009,0.795802227,1767.57,1.794040808,2.838105909,40.22220821,19.91191949,1.774206172,1.22246136,0,19.47919449,6.027803276,1.910347176,19.67389684,38.06329119,23.57727761
TheLoch,3.00-3.25,3.25,1844.1,LVDC3_013A,55.16,4.95,3.41,-23.65,28.8,388.14,0.58,7.84,15.72,54.2,0,0,0,0,18.9,13.3,1752.4,27,35.1,492,252.8,23.9,12.7,0,306.8,82.8,20.1,258,467.9,230,4.25089504,0,0,0,0,1.482353236,1.040318455,1752.39,2.114999402,2.755789397,38.57857159,19.82317478,1.875766757,0.993231387,0,24.05711652,6.494620427,1.577866714,20.22769904,36.69188521,18.03647468
TheLoch,3.25-3.50,3.5,1830.5,LVDC3_014A,54.3,5.22,3.68,-23.66,26.44,375.66,0.51,7.2,16.58,41.9,0,0,0,0,5.7,9.9,1702.8,22.3,34.4,545.4,261.1,21.4,8.4,0,250,85.6,26.6,261,514.4,367,3.018474025,0,0,0,0,0.407548063,0.712098422,1702.75,1.605113008,2.472143669,39.25277357,18.78722373,1.542460443,0.605377274,0,17.9897941,6.162062072,1.91417564,18.78345842,37.01588702,26.4109569
TheLoch,3.50-3.75,3.75,1817,LVDC3_015A,55.34,5.81,3.87,-23.73,32.42,459.1,0.56,7.9,16.52,21.4,0,0,0,0,2.8,10.7,1718,17,32.6,601.4,258,17.8,0,0,175.4,75.8,32.4,193,440.8,357,1.687281325,0,0,0,0,0.219347634,0.843331861,1718,1.343081435,2.572696084,47.52487087,20.38324771,1.406832197,0,0,13.86106978,5.99243733,2.562246645,15.24658205,34.82821351,28.20720293
TheLoch,3.75-4.00,4,1803.5,LVDC3_016A,49.93,5.07,3.93,-23.82,27.4,389.66,0.54,7.69,16.59,23.5,0,0,0,0,3,6.6,1649.8,16.8,32.2,620.9,260.7,17.9,0,0,180,77.9,29.7,223.1,444.5,343.2,1.803683476,0,0,0,0,0.227190844,0.505403836,1649.8,1.290125704,2.474633263,47.72101413,20.03399493,1.374652433,0,0,13.83192126,5.989978911,2.283326242,17.15010796,34.16096846,26.37394729
TheLoch,4.00-4.25,4.25,1790,LVDC3_017A,54.72,4.88,4.05,-23.77,25.49,368.54,0.52,7.55,16.87,7.2,0,0,0,0,1.3,5.5,1671.8,18.4,34.6,635.9,248.9,17.9,0,0,153.5,71.7,22.6,226.8,384.7,237.9,0.546710667,0,0,0,0,0.100152741,0.414914515,1671.76,1.391563566,2.611805693,48.02168138,18.79635697,1.349012099,0,0,11.59187346,5.412329996,1.703089058,17.12719083,29.05125692,17.96862905
TheLoch,4.25-4.50,4.5,1776.5,LVDC3_018A,50.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,4.50-4.75,4.75,1763,LVDC3_019A,53.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,4.75-5.00,5,1749.5,LVDC3_020A,54.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,5.00-5.25,5.25,1736,LVDC3_021A,52.13,4.57,4.23,-23.51,24.76,345.94,0.54,7.57,16.3,7.9,0,0,0,0,0,4.6,1687.6,14.1,32.7,690.3,254.5,16,0,0,144.8,72.1,26,180.8,365.7,331.2,0.595041798,0,0,0,0,0,0.345767635,1687.63,1.066051142,2.477685299,52.25551681,19.26266977,1.214522139,0,0,10.96393288,5.455523429,1.970486708,13.688,27.685,25.06749421
TheLoch,5.25-5.50,5.5,1722.5,LVDC3_022A,51.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,5.50-5.75,5.75,1709,LVDC3_023A,53.49,4.08,4.39,-23.59,19.75,279.63,0.48,6.85,16.52,6.5,0,0,0,0,0,3.9,1734.6,16.3,38.3,784.4,284.2,19.6,0,0,161,83.2,36.1,239.4,405.8,413.8,0.447210313,0,0,0,0,0,0.269581108,1734.57,1.116457829,2.624935866,53.75826149,19.47778834,1.341080858,0,0,11.03652717,5.703375355,2.471837702,16.408,27.811,28.36335059
TheLoch,5.75-6.00,6,1695.4,LVDC3_024A,52.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,6.00-6.25,6.25,1681.9,LVDC3_025A,50.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,6.25-6.50,6.5,1668.4,LVDC3_026A,52.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,6.50-6.75,6.75,1654.9,LVDC3_027A,54.58,5.02,4.02,-23.63,26.43,396.52,0.53,7.9,17.5,5.5,0,0,0,0,0,2.5,1686.6,7.9,36.2,639,249.1,16.1,0,0,137.9,72,27.3,172.1,342.8,353.9,0.43372661,0,0,0,0,0,0.198148041,1686.63,0.621911871,2.856969365,50.47642653,19.6783627,1.275525148,0,0,10.89617275,5.688018656,2.154122933,13.59233921,27.078,27.9570905
TheLoch,6.75-7.00,7,1641.4,LVDC3_028A,50.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,7.00-7.25,7.25,1627.9,LVDC3_029A,52.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,7.25-7.50,7.5,1614.4,LVDC3_030A,51.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,7.50-7.75,7.75,1600.9,LVDC3_031A,54.61,4.08,4.31,-23.36,21.57,319.64,0.53,7.83,17.28,7.2,0,0,0,0,0,2.5,1745.6,17.3,41.9,801.3,303.1,20.7,0,0,154.7,83.5,24.4,248.8,361.6,413.4,0.564697458,0,0,0,0,0,0.198039189,1745.57,1.358360349,3.286267059,62.77353991,23.74808854,1.618399812,0,0,12.11848824,6.542225714,1.907944226,19.49122082,28.329,32.38434106
TheLoch,7.75-8.00,8,1587.4,LVDC3_032A,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,8.00-8.25,8.25,1573.8,LVDC3_033A,58.86,5.11,4.16,-23.58,28.08,400.04,0.55,7.83,16.62,7.1,0,0,0,0,0,4.7,1754.2,12.8,34.2,617.5,267.8,16.8,0,0,136,72.5,24,215.9,375.4,330.5,0.554485542,0,0,0,0,0,0.367479446,1754.17,1.003909504,2.678969107,48.34420499,20.96292505,1.318992922,0,0,10.64648082,5.676101776,1.877014365,16.90026904,29.39,25.86969214
TheLoch,8.25-8.50,8.5,1560.3,LVDC3_034A,54.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,8.50-8.75,8.75,1546.8,LVDC3_035A,59.79,5.97,4.43,-23.43,31.36,432.95,0.53,7.25,16.11,11.2,0,0,0,0,0,5,1665.5,15,39.1,662.9,316,18.4,0,0,170.5,84.6,29.8,251,468.6,434.3,0.810637464,0,0,0,0,0,0.361763509,1665.54,1.087518319,2.838404794,48.07312536,22.91509731,1.335878401,0,0,12.36338405,6.133522997,2.157648077,18.20290385,33.986,31.49292082
TheLoch,8.75-9.00,9,1533.3,LVDC3_036A,51.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,9.00-9.25,9.25,1519.8,LVDC3_037A,56.35,4.81,4.36,-23.78,24.09,337.46,0.5,7.02,16.34,12.6,0,0,0,0,0,4.6,1699.8,16.2,39.5,706.1,294.9,17.2,0,0,171.4,84.4,28.7,232.1,409.5,425.3,0.887152164,0,0,0,0,0,0.319873413,1699.75,1.137756956,2.773060717,49.53911685,20.68816249,1.207583602,0,0,12.02560949,5.919540638,2.010623918,16.28040684,28.72909133,29.8413758
TheLoch,9.25-9.50,9.5,1506.3,LVDC3_038A,53.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,9.50-9.75,9.75,1492.8,LVDC3_039A,50.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
