year,month,ppt_mm,tmin,tmax
1988,3,91,-13.2,3.5
1988,4,69,-6.2,9.3
1988,5,57,-1.8,13.6
1988,6,41,4.1,20.5
1989,7,53,3.7,21.2
1989,8,22,4.8,21.9
1989,9,27,0.2,16.6
1989,10,36,-2.3,12.2
1989,11,61,-9.1,0.3
1989,12,89,-15.4,-2.1
1989,1,43,-14.7,-1.4
1989,2,79,-13.9,-1
1989,3,58,-7.6,7.4
1989,4,70,-5,9.5
1989,5,57,-1.6,14.4
1989,6,37,1.5,17.9
1990,7,62,4.2,22.7
1990,8,48,3.8,19.8
1990,9,28,0.4,17.6
1990,10,18,-4.7,10
1990,11,76,-10,2.1
1990,12,63,-14.6,-3
1990,1,44,-13.3,0
1990,2,47,-12.7,1.4
1990,3,125,-8.5,5.6
1990,4,89,-5.1,8.9
1990,5,71,-3.5,12.8
1990,6,14,2.2,21.7
1991,7,67,3.7,19.3
1991,8,55,3.5,20.8
1991,9,46,2.3,18.6
1991,10,44,-4.1,9.8
1991,11,45,-9.1,3.4
1991,12,67,-16.9,-3.6
1991,1,57,-15.3,-3
1991,2,33,-11.3,3.5
1991,3,103,-9.5,3.3
1991,4,79,-7.7,6.5
1991,5,72,-2,13.5
1991,6,73,2,18.2
1992,7,70,3.1,20
1992,8,78,4.2,19.9
1992,9,34,-0.2,16.3
1992,10,54,-5.2,10.5
1992,11,40,-10.6,-2
1992,12,49,-14.5,-0.2
1992,1,42,-14.3,-1.5
1992,2,37,-10.4,2.1
1992,3,97,-8.4,5.5
1992,4,59,-5.5,10.7
1992,5,73,-1.5,13.5
1992,6,52,0.8,16.2
1993,7,51,2.1,18.9
1993,8,63,2.8,19.1
1993,9,26,0.3,17.3
1993,10,29,-3.6,11.3
1993,11,101,-12.8,-3.8
1993,12,17,-15.8,-3
1993,1,64,-14.2,-2.8
1993,2,111,-14.2,-2.2
1993,3,89,-9.6,4.9
1993,4,110,-7.5,6.1
1993,5,46,-1.9,13.1
1993,6,64,0.4,17.2
1994,7,20,2.1,20.1
1994,8,37,3.9,19
1994,9,70,-1.4,15.2
1994,10,28,-5.1,7.7
1994,11,78,-13.2,-1.2
1994,12,47,-13.4,-1.4
