SITE,TYPE,YEAR,MONTH,DAY,DATE,TEMP,FLDCOND,LABCOND,FLDPH,LABPH,ANC,CA,MG,NA,K,NH4,NH4_NREL,SO4,NO3,NO3_NREL,PO4,CL,F,SiO2,AL,FE,MN,LAB,DOC,TDN,NH4 calc,NO3 calc,TIN,TDN calc,DON,PO4_NREL,PO4_NREL calc,TP_NREL,TP_NREL calc,DOP,TP_HSWL,CHL_A
ANDREWS.CRK,NORMAL,2015,5,19,5/19/15,0.9,20.39,16.11,,6.55,42.749,1.774,0.302,0.634,0.204,0.015,,2.4101,1.6587,,<0.04,0.2036,0.064,3.266392,,,,USFS,1.765,0.4287,0.015,1.6587,0.386052286,0.4287,0.042647714,,,,,,,
ANDREWS.CRK,NORMAL,2015,6,23,6/23/15,,,10.32,,6.34,25.288,1.015,0.147,0.44,0.122,0.012,,1.1451,1.3092,,<0.04,0.1092,0.0476,4.524598,,,,USFS,0.6845,0.3493,0.012,1.3092,0.3048328,0.3493,0.0444672,,,,,,,
ANDREWS.CRK,NORMAL,2015,7,21,7/21/15,4.4,9.6,10.73,,5.94,20.703,0.849,0.13,0.448,0.11,0.013,,1.2095,0.9981,,<0.04,0.076,0.0482,1.723824,,,,USFS,0.279,0.2588,0.013,0.9981,0.23538226,0.2588,0.02341774,,,,,,,
ANDREWS.CRK,NORMAL,2015,8,18,8/18/15,6.6,9,8.47,,6.31,28.565,0.792,0.117,0.444,0.1,<0.01,,1.2114,0.5439,,<0.04,0.062,0.055,1.646706,,,,USFS,0.2105,0.2367,0.005,0.5439,0.126652493,0.2367,0.110047507,,,,,,,
ANDREWS.CRK,NORMAL,2015,9,25,9/25/15,7,12,12,,6.6,43.921,1.213,0.182,0.58,0.159,<0.01,,1.8113,0.9947,,<0.04,0.0838,0.065,3.08985,,,,USFS,0.2231,0.3329,0.005,0.9947,0.228413215,0.3329,0.104486785,,,,,,,
ANDREWS.CRK,BLANK,2015,9,25,9/25/15,,,0.94,,5.73,0.591,<0.02,<0.02,<0.02,<0.02,<0.01,,<0.01,<0.01,,<0.04,<0.01,<0.01,<0.40,,,,USFS,<0.06,<0.05,0.005,0.005,0.005004637,0.025,0.019995363,,,,,,,
ANDREWS.CRK,NORMAL,2016,5,26,5/26/16,1.4,16.78,14.99,,6.72,37.934,1.64,0.279,0.589,0.212,0.026,,2.1481,1.7358,,<0.04,0.2,0.0708,,,,,USFS,1.844,0.4294,0.026,1.7358,0.411983481,0.4294,0.017416519,,,,,,6,
ANDREWS.CRK,NORMAL,2016,6,21,6/21/16,3.5,9.9,10,,6.56,29.415,1.062,0.171,0.431,0.157,0.015,,1.1599,1.3454,,<0.04,0.1143,0.0556,,,,,USFS,0.8292,0.3767,0.015,1.3454,0.315329939,0.3767,0.061370061,,,,,,9,
ANDREWS.CRK,NORMAL,2016,7,19,7/19/16,,,9.48,,6.74,31.468,1.0666,0.1681,0.421,0.116,<0.01,0.159586278,1.0979,0.9757,0.880908733,<0.04,0.0696,0.0591,,,,,USFS,0.448,0.2806,0.005,0.9757,0.224124276,0.2806,0.056475724,,,,,,7,
ANDREWS.CRK,NORMAL,2016,8,23,8/23/16,,,11.24,,6.81,32.0688,1.061,0.172,0.624,0.242,0.033,0.113136674,1.6444,0.939,1.21346137,<0.04,0.0763,0.0684,,,,,USFS,0.2909,0.3097,0.033,0.939,0.237545278,0.3097,0.072154722,,,,,,6,
ANDREWS.CRK,DUPE,2016,8,23,8/23/16,,,11.34,,6.81,33.7959,1.077,0.183,0.649,0.253,0.044,0.128621529,1.6959,1.0918,1.109677506,<0.04,0.236,0.071,,,,,USFS,0.3993,0.3194,0.044,1.0918,0.280564509,0.3194,0.038835491,,,,,,7,
ANDREWS.CRK,NORMAL,2016,9,20,9/20/16,4.4,14.17,13.27,,6.69,45.951,1.338,0.208,0.656,0.159,<0.01,0.145353245,2.2022,1.454,1.444341992,<0.04,0.1105,0.0598,,,,,USFS,0.3041,0.3417,0.005,1.454,0.332092673,0.3417,0.009607327,,,,,,4,
ANDREWS.CRK,NORMAL,1983,7,5,7/5/83,4,9,13,6.8,7.1,23.1,0.9,0.1,0.4,0.12,<0.01,,1.39,1.24,,0.01,0.14,0.07,1.8,,<10,1,USGS,,,0.005,1.24,0.283785676,,,,,,,,,
ANDREWS.CRK,NORMAL,1983,8,2,8/2/83,,8,12,6.6,7.4,,0.87,0.15,0.3,0.14,0.02,,1.11,0.93,,0.01,0.01,0.02,1.8,30,23,2,USGS,,,0.02,0.93,0.225436156,,,,,,,,,
ANDREWS.CRK,NORMAL,1983,8,30,8/30/83,7,5,13,6.9,8.1,19.5,0.81,0.17,0.4,0.15,<0.01,,1.02,0.66,,0.01,<0.01,0.06,1.7,,15,1,USGS,,,0.005,0.66,0.152860168,,,,,,,,,
ANDREWS.CRK,NORMAL,1983,9,18,9/18/83,7,9,11,6.7,7.3,31.4,0.86,0.1,0.4,0.16,0.06,,1.21,0.93,,0.01,0.22,0.06,2,,<10,1,USGS,,,0.06,0.93,0.256443908,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,5,30,5/30/84,2,14,14,6.2,6.7,40.2,1.3,0.2,0.4,0.19,0.06,,1.57,2.08,,0.02,0.17,0.04,2.4,60,37,8,USGS,,,0.06,2.08,0.516037587,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,6,5,6/5/84,0,12,15,6.3,7.1,,1.3,0.2,0.4,0.18,0.05,,1.54,1.95,,0.01,0.12,0.04,2.2,60,32,1,USGS,,,0.05,1.95,0.478940277,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,6,13,6/13/84,1,12,14,6.3,6.9,34.5,1.4,0.2,0.4,0.19,0.07,,1.6,1.99,,<0.003,0.16,0.05,2.3,60,23,1,USGS,,,0.07,1.99,0.503473498,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,6,20,6/20/84,4,12,13,6.3,6.7,36.1,1.3,0.2,0.4,0.18,0.04,,1.43,1.51,,0.02,0.12,0.06,1.6,60,27,3,USGS,,,0.04,1.51,0.37186554,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,6,20,6/20/84,2,11,12,6.2,6.8,36.1,1.1,0.2,0.4,0.16,0.04,,1.26,1.6,,,0.1,0.04,1.9,40,18,1,USGS,,,0.04,1.6,0.392181567,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,6,27,6/27/84,3,10,11,6.6,7.2,30.8,1,0.2,0.4,0.15,0.04,,1.2,1.42,,0.02,0.13,0.03,1.8,30,11,1,USGS,,,0.04,1.42,0.351549513,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,7,25,7/25/84,4,9,10,6.6,8.1,36.8,0.9,0.2,0.5,0.15,0.02,,1.03,1.06,,,0.08,0.05,1.7,30,13,2,USGS,,,0.02,1.06,0.254781528,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,8,15,8/15/84,5,7,9,6.6,7.2,30.9,0.8,0.1,0.4,0.12,0.02,,0.97,0.89,,0.01,0.06,0.05,1.7,20,13,1,USGS,,,0.02,0.89,0.216406811,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,9,13,9/13/84,5,10,10,6.6,7.2,,0.9,0.1,0.4,0.14,0.03,,1.1,0.89,,<0.003,,,1.9,20,<10,1,USGS,,,0.03,0.89,0.224158748,,,,,,,,,
ANDREWS.CRK,NORMAL,1984,10,11,10/11/84,4,12,13,6.9,6.7,20,1.2,0.2,0.5,0.15,0.01,,1.6,,,0.01,0.1,<0.01,2.4,30,<10,1,USGS,,,0.01,,,,,,,,,,,
ANDREWS.CRK,NORMAL,1985,6,12,6/12/85,3,12,11.2,6.3,,26.2,1.3,0.19,0.41,0.12,0.01,,1.4,1.68,,0.01,0.13,0.05,2,38,38,2,USGS,,,0.01,1.68,0.386984444,,,,,,,,,
